627,"Luxury 2 BR, Private Entrance Townhouse 2",Entire home/apt
628,Back Bay Studio walk score 98 steps public trans,Entire home/apt
629,"Arlington Street, Lux low-rise 1 Bd Back Bay area",Entire home/apt
630,Heart of Boston Home 6 walk to all of Boston,Entire home/apt
631,Boston -in the center of it ALL!,Entire home/apt
632,1 Bedroom Apt. *B - Boston Back Bay,Entire home/apt
633,Townhouse next to the Boston Common,Entire home/apt
634,Full Serviced One Bedroom Apartment,Entire home/apt
635,Lovely Back BayTownhouse in Boston 38M,Entire home/apt
636,2 Bedroom Suite - Boston's Back Bay,Entire home/apt
637,Charming Bay Village Brownstone Apt,Entire home/apt
638,Cozy Classic Boston Brownstone,Entire home/apt
639,Historic townhouse in the heart of Boston,Entire home/apt
640,In the Heart of Boston! Also,Private room
641,Renovated 1 Bedroom Steps from Boston Common,Entire home/apt
642,Steps from everywhere you want 2 go,Private room
643,Lux 1BR Back Bay + Basketball Court,Entire home/apt
644,Private Room in the Heart of Boston,Private room
645,"Dramatic 2 BR, Private Entrance Townhouse 1",Entire home/apt
646,"Comfy 2BR, Amazing Location!",Entire home/apt
647,Spectacular Boston Townhouse 36M,Entire home/apt
648,Boston City Home 8 right in the heart of the city,Entire home/apt
649,In the Heart of Boston too!!,Private room
650,Private Room in Hip Loft,Private room
651,"2 BR Luxury Condo, Downtown Boston",Entire home/apt
652,"Best Location, Luxury Condo",Private room
653,Luxury Condo,Entire home/apt
654,One-Bed Condo (Downtown Boston),Entire home/apt
655,[1857]2BR At Radian Apartments,Entire home/apt
656,Luxury Furnished 1BR Boston Apt,Entire home/apt
657,[1857-1]1BR At Radian Apartments,Entire home/apt
658,Luxury 1BR Boston Apt,Entire home/apt
659,New Downtown 2Bedrooms,Entire home/apt
660,Chic 2BR Near Boston Common,Entire home/apt
661,New 1 BD Downtown ( B ),Entire home/apt
662,Roomy 2BR close to Boston Common,Entire home/apt
663,Downtown Back Bay Studio W/Parking,Entire home/apt
664,2BR Downtown Boston,Entire home/apt
665,Lux Downtown Boston 2BR Apt w/pool,Entire home/apt
666,"Tufts medical,Boston tourists,sleeps 6,ChinaTown",Entire home/apt
667,4BR & 2BA Downtown: Combine 2 units,Entire home/apt
668,Brand New Luxury 1 bedroom Downtown Boston,Entire home/apt
669,"Lux 2BR w/WiFi, Central Boston",Entire home/apt
670,Convenient 2bd Downtown Apt,Entire home/apt
671,Apartment in Chinatown Boston,Private room
672,LUX 1 Bedroom Downtown Boston Apt,Entire home/apt
